п/п;Бригада;Дата;Код;sample;Участок;Тип;ПР;ПК;H;D0;D1;D2;D3;D4;D5;L1;L2;L3;L4;Примечания;Крат_ПР;Крат_ПК;Дубль
2893;Гришукин И. В.;07.10.2021;0220-0640;DG66-0220-0640;DG;66;0220;0640;0,4;B;4;7;2;1;2;3;5;1;0;;;;ЛОЖЬ
2894;Гришукин И. В.;07.10.2021;0220-0660;DG66-0220-0660;DG;66;0220;0660;0,4;B;4;7;2;1;2;3;5;1;0;;;;ЛОЖЬ
2895;Гришукин И. В.;07.10.2021;0240-0660;DG66-0240-0660;DG;66;0240;0660;0,4;B;4;7;2;1;2;3;5;1;0;;;;ЛОЖЬ
2896;Гришукин И. В.;07.10.2021;0240-0640;DG66-0240-0640;DG;66;0240;0640;0,4;B;4;7;2;1;2;3;5;1;0;;;;ЛОЖЬ
2897;Гришукин И. В.;07.10.2021;0240-0620;DG66-0240-0620;DG;66;0240;0620;0,4;B;4;7;2;1;2;3;5;1;0;;;;ЛОЖЬ
2898;Гришукин И. В.;07.10.2021;0240-0600;DG06-0240-0600;DG;06;0240;0600;0,4;B;4;7;2;2;2;3;4;1;0;;;;ЛОЖЬ
2899;Гришукин И. В.;07.10.2021;0240-0580;DG06-0240-0580;DG;06;0240;0580;0,4;B;4;7;2;2;2;3;4;1;0;;;;ЛОЖЬ
2900;Гришукин И. В.;07.10.2021;0240-0560;DG06-0240-0560;DG;06;0240;0560;0,4;B;4;5;2;2;2;3;4;1;0;;;;ЛОЖЬ
2901;Гришукин И. В.;07.10.2021;0240-0540;DG06-0240-0540;DG;06;0240;0540;0,4;B;4;5;2;2;2;3;4;1;0;;;;ЛОЖЬ
2902;Гришукин И. В.;07.10.2021;0240-0520;DG06-0240-0520;DG;06;0240;0520;0,4;B;4;5;2;2;2;3;4;1;0;;;;ЛОЖЬ
2903;Гришукин И. В.;07.10.2021;0240-0500;DG06-0240-0500;DG;06;0240;0500;0,4;B;4;5;2;2;2;3;4;1;0;;;;ЛОЖЬ
2904;Гришукин И. В.;07.10.2021;0240-0480;DG66-0240-0480;DG;66;0240;0480;0,4;B;4;7;2;1;2;3;5;1;0;;;;ЛОЖЬ
2905;Гришукин И. В.;07.10.2021;0240-0460;DG66-0240-0460;DG;66;0240;0460;0,4;B;4;7;2;1;2;3;5;1;0;;;;ЛОЖЬ
2906;Гришукин И. В.;07.11.2021;0640-0520;DG66-0640-0520;DG;66;0640;0520;0,4;B;4;7;2;1;2;1;5;1;0;;;;ЛОЖЬ
2907;Гришукин И. В.;07.11.2021;0640-0500;DG66-0640-0500;DG;66;0640;0500;0,4;B;4;7;2;1;2;1;5;1;0;;;;ЛОЖЬ
2908;Гришукин И. В.;07.11.2021;0640-0480;DG66-0640-0480;DG;66;0640;0480;0,4;B;4;7;2;1;2;1;5;1;0;;;;ЛОЖЬ
2909;Гришукин И. В.;07.11.2021;0640-0460;DG66-0640-0460;DG;66;0640;0460;0,4;B;4;7;2;1;2;1;5;1;0;;;;ЛОЖЬ
2910;Гришукин И. В.;07.11.2021;0640-0440;DG66-0640-0440;DG;66;0640;0440;0,4;B;4;7;2;1;2;1;5;1;0;;;;ЛОЖЬ
2911;Гришукин И. В.;07.11.2021;0640-0420;DG66-0640-0420;DG;66;0640;0420;0,4;B;4;7;2;1;2;1;5;1;0;;;;ЛОЖЬ
2912;Гришукин И. В.;07.11.2021;0640-0400;DG66-0640-0400;DG;66;0640;0400;0,4;B;4;7;2;1;2;1;5;1;0;;;;ЛОЖЬ
2913;Гришукин И. В.;07.11.2021;0640-0380;DG06-0640-0380;DG;06;0640;0380;0,4;B;4;7;2;2;2;1;5;1;0;;;;ЛОЖЬ
2914;Гришукин И. В.;07.11.2021;0640-0360;DG06-0640-0360;DG;06;0640;0360;0,4;B;4;7;2;2;2;1;5;1;0;;;;ЛОЖЬ
2915;Гришукин И. В.;07.11.2021;0640-0340;DG06-0640-0340;DG;06;0640;0340;0,4;B;4;7;2;2;2;1;5;1;0;;;;ЛОЖЬ
2916;Гришукин И. В.;07.11.2021;0640-0320;DG06-0640-0320;DG;06;0640;0320;0,4;B;4;7;2;2;2;1;5;1;0;;;;ЛОЖЬ
2917;Гришукин И. В.;07.11.2021;0620-0300;DG06-0620-0300;DG;06;0620;0300;0,4;B;4;7;2;2;2;1;5;1;0;;;;ЛОЖЬ
2918;Гришукин И. В.;07.11.2021;0620-0320;DG06-0620-0320;DG;06;0620;0320;0,4;B;4;7;2;2;2;1;5;1;0;;;;ЛОЖЬ
2919;Гришукин И. В.;07.11.2021;0620-0340;DG06-0620-0340;DG;06;0620;0340;0,4;B;4;7;2;2;2;1;5;1;0;;;;ЛОЖЬ
2920;Гришукин И. В.;07.11.2021;0620-0360;DG06-0620-0360;DG;06;0620;0360;0,4;B;4;7;2;2;2;1;5;1;0;;;;ЛОЖЬ
2921;Гришукин И. В.;07.11.2021;0620-0380;DG06-0620-0380;DG;06;0620;0380;0,4;B;4;7;2;2;2;1;5;1;0;;;;ЛОЖЬ
2922;Гришукин И. В.;07.11.2021;0620-0400;DG66-0620-0400;DG;66;0620;0400;0,4;B;4;7;2;1;2;1;5;1;0;;;;ЛОЖЬ
2923;Гришукин И. В.;07.11.2021;0620-0420;DG66-0620-0420;DG;66;0620;0420;0,4;B;4;7;2;1;2;1;5;1;0;;;;ЛОЖЬ
2924;Гришукин И. В.;07.11.2021;0620-0440;DG66-0620-0440;DG;66;0620;0440;0,4;B;4;7;2;1;2;1;5;1;0;;;;ЛОЖЬ
2925;Гришукин И. В.;07.11.2021;0620-0460;DG66-0620-0460;DG;66;0620;0460;0,4;B;4;7;2;1;2;1;5;1;0;;;;ЛОЖЬ
2926;Гришукин И. В.;07.11.2021;0620-0480;DG66-0620-0480;DG;66;0620;0480;0,4;B;4;7;2;1;2;1;5;1;0;;;;ЛОЖЬ
2927;Гришукин И. В.;07.11.2021;0620-0500;DG66-0620-0500;DG;66;0620;0500;0,4;B;4;7;2;1;2;1;5;1;0;;;;ЛОЖЬ
2928;Гришукин И. В.;07.11.2021;0620-0520;DG66-0620-0520;DG;66;0620;0520;0,4;B;4;7;2;1;2;1;5;1;0;;;;ЛОЖЬ
2929;Гришукин И. В.;07.11.2021;0620-0540;DG66-0620-0540;DG;66;0620;0540;0,4;B;4;7;2;1;2;1;5;1;0;;;;ЛОЖЬ
2930;Гришукин И. В.;07.11.2021;0620-0560;DG66-0620-0560;DG;66;0620;0560;0,4;B;4;7;2;1;2;1;5;1;0;;;;ЛОЖЬ
2931;Гришукин И. В.;07.11.2021;0620-0580;DG66-0620-0580;DG;66;0620;0580;0,4;B;4;7;2;1;2;1;5;1;0;;;;ЛОЖЬ
2932;Гришукин И. В.;07.11.2021;0620-0600;DG66-0620-0600;DG;66;0620;0600;0,4;B;4;7;2;1;2;1;5;1;0;;;;ЛОЖЬ
2933;Гришукин И. В.;07.11.2021;0620-0620;DG66-0620-0620;DG;66;0620;0620;0,4;B;4;7;2;1;2;1;5;1;0;;;;ЛОЖЬ
2934;Гришукин И. В.;07.11.2021;0620-0640;DG66-0620-0640;DG;66;0620;0640;0,4;B;4;7;2;1;2;1;5;1;0;;;;ЛОЖЬ
2935;Гришукин И. В.;07.11.2021;0620-0660;DG06-0620-0660;DG;06;0620;0660;0,4;B;4;7;2;2;2;1;5;1;0;;;;ЛОЖЬ
2936;Гришукин И. В.;07.11.2021;0620-0680;DG06-0620-0680;DG;06;0620;0680;0,4;B;4;7;2;2;2;1;5;1;0;;;;ЛОЖЬ
2937;Гришукин И. В.;07.11.2021;0620-0700;DG06-0620-0700;DG;06;0620;0700;0,4;B;4;7;2;2;2;1;5;1;0;;;;ЛОЖЬ
2938;Гришукин И. В.;07.11.2021;0620-0720;DG06-0620-0720;DG;06;0620;0720;0,4;B;4;7;2;2;2;1;5;1;0;;;;ЛОЖЬ
2939;Гришукин И. В.;07.11.2021;0620-0740;DG06-0620-0740;DG;06;0620;0740;0,4;B;4;7;2;2;2;1;5;1;0;;;;ЛОЖЬ
2940;Гришукин И. В.;07.11.2021;0640-0740;DG06-0640-0740;DG;06;0640;0740;0,4;B;4;7;2;2;2;1;5;1;0;;;;ЛОЖЬ
2941;Гришукин И. В.;07.11.2021;0640-0720;DG06-0640-0720;DG;06;0640;0720;0,4;B;4;7;2;2;2;1;5;1;0;;;;ЛОЖЬ
2942;Гришукин И. В.;07.11.2021;0640-0700;DG06-0640-0700;DG;06;0640;0700;0,4;B;4;7;2;2;2;1;5;1;0;;;;ЛОЖЬ
2943;Гришукин И. В.;07.11.2021;0640-0680;DG06-0640-0680;DG;06;0640;0680;0,4;B;4;7;2;2;2;1;5;1;0;;;;ЛОЖЬ
2944;Гришукин И. В.;07.11.2021;0640-0660;DG06-0640-0660;DG;06;0640;0660;0,4;B;4;7;2;2;2;1;5;1;0;;;;ЛОЖЬ
2945;Гришукин И. В.;07.11.2021;0640-0640;DG66-0640-0640;DG;66;0640;0640;0,4;B;4;7;2;1;2;1;5;1;0;;;;ЛОЖЬ
2946;Гришукин И. В.;07.11.2021;0640-0620;DG66-0640-0620;DG;66;0640;0620;0,4;B;4;7;2;1;2;1;5;1;0;;;;ЛОЖЬ
2947;Гришукин И. В.;07.11.2021;0640-0600;DG66-0640-0600;DG;66;0640;0600;0,4;B;4;7;2;1;2;1;5;1;0;;;;ЛОЖЬ
2948;Гришукин И. В.;07.11.2021;0640-0580;DG66-0640-0580;DG;66;0640;0580;0,4;B;4;7;2;1;2;1;5;1;0;;;;ЛОЖЬ
2949;Гришукин И. В.;07.11.2021;0640-0560;DG66-0640-0560;DG;66;0640;0560;0,4;B;4;7;2;1;2;1;5;1;0;;;;ЛОЖЬ
2950;Гришукин И. В.;07.11.2021;0640-0540;DG66-0640-0540;DG;66;0640;0540;0,4;B;4;7;2;1;2;1;5;1;0;;;;ЛОЖЬ
2951;Захарова А.Е;07.10.2021;0300-0260;DG66-0300-0260;DG;66;0300;0260;0,7;B;5;3;2;2;2;4;3;1;0;;;;ЛОЖЬ
2952;Захарова А.Е;07.10.2021;0300-0240;DG66-0300-0240;DG;66;0300;0240;0,4;B;4;2;2;1;2;4;3;1;0;;;;ЛОЖЬ
2953;Захарова А.Е;07.10.2021;0300-0220;DG06-0300-0220;DG;06;0300;0220;0,5;B;4;2;2;1;2;4;3;1;0;;;;ЛОЖЬ
2954;Захарова А.Е;07.10.2021;0300-0200;DG06-0300-0200;DG;06;0300;0200;0,3;B;4;2;2;1;2;4;3;1;0;;;;ЛОЖЬ
2955;Захарова А.Е;07.10.2021;0300-0180;DG06-0300-0180;DG;06;0300;0180;0,5;B;5;2;1;1;2;4;3;1;0;;;;ЛОЖЬ
2956;Захарова А.Е;07.10.2021;0320-0160;DG06-0320-0160;DG;06;0320;0160;0,5;B;5;4;1;1;2;1;3;1;0;;;;ЛОЖЬ
2957;Захарова А.Е;07.10.2021;0300-0160;DG06-0300-0160;DG;06;0300;0160;0,4;B;5;4;2;1;2;1;3;1;0;;;;ЛОЖЬ
2958;Захарова А.Е;07.10.2021;0320-0180;DG06-0320-0180;DG;06;0320;0180;0,4;B;5;4;2;1;2;1;3;1;0;;;;ЛОЖЬ
2959;Захарова А.Е;07.10.2021;0320-0200;DG06-0320-0200;DG;06;0320;0200;0,4;B;4;2;2;1;2;2;5;1;0;;;;ЛОЖЬ
2960;Захарова А.Е;07.10.2021;0320-0220;DG06-0320-0220;DG;06;0320;0220;0,5;B;4;2;2;1;2;4;3;1;0;;;;ЛОЖЬ
2961;Захарова А.Е;07.10.2021;0320-0240;DG06-0320-0240;DG;06;0320;0240;0,5;B;5;2;2;2;2;4;3;1;0;;;;ЛОЖЬ
2962;Захарова А.Е;07.10.2021;0320-0260;DG06-0320-0260;DG;06;0320;0260;0,5;B;6;2;2;3;2;4;3;1;0;;;;ЛОЖЬ
2963;Захарова А.Е;07.10.2021;0320-0280;DG06-0320-0280;DG;06;0320;0280;0,4;B;5;2;2;3;2;4;3;1;0;;;;ЛОЖЬ
2964;Захарова А.Е;07.10.2021;0300-0280;DG66-0300-0280;DG;66;0300;0280;0,5;B;5;2;2;1;2;3;3;1;0;;;;ЛОЖЬ
2965;Захарова А.Е;07.10.2021;0300-0300;DG66-0300-0300;DG;66;0300;0300;0,5;B;5;2;2;1;2;1;3;1;0;;;;ЛОЖЬ
2966;Захарова А.Е;07.10.2021;0320-0300;DG06-0320-0300;DG;06;0320;0300;0,5;B;5;2;3;1;2;3;3;1;0;;;;ЛОЖЬ
2967;Захарова А.Е;07.10.2021;0320-0320;DG66-0320-0320;DG;66;0320;0320;0,4;B;5;2;3;1;2;3;3;1;0;;;;ЛОЖЬ
2968;Захарова А.Е;07.10.2021;0300-0320;DG66-0300-0320;DG;66;0300;0320;0,7;B;5;4;1;1;2;1;3;1;0;;;;ЛОЖЬ
2969;Захарова А.Е;07.10.2021;0300-0340;DG66-0300-0340;DG;66;0300;0340;0,7;B;5;4;3;2;2;1;3;1;0;;;;ЛОЖЬ
2970;Захарова А.Е;07.10.2021;0320-0340;DG66-0320-0340;DG;66;0320;0340;0,7;B;5;4;1;1;2;1;3;1;0;;;;ЛОЖЬ
2971;Захарова А.Е;07.10.2021;0320-0360;DG66-0320-0360;DG;66;0320;0360;0,6;B;6;2;2;1;2;1;3;1;0;;;;ЛОЖЬ
2972;Захарова А.Е;07.10.2021;0300-0360;DG66-0300-0360;DG;66;0300;0360;0,5;B;5;3;1;1;2;1;3;1;0;;;;ЛОЖЬ
2973;Захарова А.Е;07.10.2021;0300-0380;DG66-0300-0380;DG;66;0300;0380;0,4;B;5;4;1;1;2;1;3;1;0;;;;ЛОЖЬ
2974;Захарова А.Е;07.10.2021;0320-0380;DG66-0320-0380;DG;66;0320;0380;0,4;B;5;4;1;1;2;3;3;1;0;;;;ЛОЖЬ
2975;Захарова А.Е;07.10.2021;0320-0400;DG66-0320-0400;DG;66;0320;0400;0,6;B;5;2;3;1;2;3;3;1;0;;;;ЛОЖЬ
2976;Захарова А.Е;07.10.2021;0300-0400;DG66-0300-0400;DG;66;0300;0400;0,4;B;5;2;3;1;2;1;3;1;0;;;;ЛОЖЬ
2977;Захарова А.Е;07.10.2021;0300-0420;DG66-0300-0420;DG;66;0300;0420;0,5;B;5;3;3;1;2;1;3;1;0;;;;ЛОЖЬ
2978;Захарова А.Е;07.10.2021;0320-0420;DG66-0320-0420;DG;66;0320;0420;0,6;B;7;2;3;1;2;1;3;2;1;;;;ЛОЖЬ
2979;Захарова А.Е;07.10.2021;0320-0440;DG66-0320-0440;DG;66;0320;0440;0,6;B;6;2;3;1;2;1;3;2;1;;;;ЛОЖЬ
2980;Захарова А.Е;07.10.2021;0300-0440;DG66-0300-0440;DG;66;0300;0440;0,7;B;5;3;1;1;2;1;3;1;0;;;;ЛОЖЬ
2981;Захарова А.Е;07.10.2021;0300-0460;DG66-0300-0460;DG;66;0300;0460;0,6;B;5;4;2;1;2;1;3;1;0;;;;ЛОЖЬ
2982;Захарова А.Е;07.10.2021;0320-0460;DG66-0320-0460;DG;66;0320;0460;0,7;B;7;2;2;1;2;1;3;1;0;;;;ЛОЖЬ
2983;Захарова А.Е;07.10.2021;0320-0480;DG66-0320-0480;DG;66;0320;0480;0,7;B;6;2;2;1;2;1;3;1;0;;;;ЛОЖЬ
2984;Захарова А.Е;07.10.2021;0300-0480;DG66-0300-0480;DG;66;0300;0480;0,5;B;6;2;2;1;2;1;3;1;0;;;;ЛОЖЬ
2985;Захарова А.Е;07.10.2021;0300-0500;DG66-0300-0500;DG;66;0300;0500;0,5;B;6;2;2;1;2;1;3;1;0;;;;ЛОЖЬ
2986;Захарова А.Е;07.10.2021;0320-0500;DG66-0320-0500;DG;66;0320;0500;0,6;B;5;2;2;1;2;1;3;1;0;;;;ЛОЖЬ
2987;Захарова А.Е;07.10.2021;0320-0520;DG66-0320-0520;DG;66;0320;0520;0,6;B;6;2;2;1;2;1;3;1;0;;;;ЛОЖЬ
2988;Дундин А. А.;07.10.2021;0180-0220;DG66-0180-0220;DG;66;0180;0220;0,4;B;4;5;2;2;2;1;3;1;0;;;;ЛОЖЬ
2989;Дундин А. А.;07.10.2021;0180-0240;DG66-0180-0240;DG;66;0180;0240;0,3;B;4;5;2;2;2;3;3;1;0;;;;ЛОЖЬ
2990;Дундин А. А.;07.10.2021;0180-0260;DG86-0180-0260;DG;86;0180;0260;0,3;B;9;5;2;2;2;4;4;1;0;;;;ЛОЖЬ
2991;Дундин А. А.;07.10.2021;0180-0280;DG86-0180-0280;DG;86;0180;0280;0,3;B;9;5;2;2;2;4;4;1;0;;;;ЛОЖЬ
2992;Дундин А. А.;07.10.2021;0180-0300;DG86-0180-0300;DG;86;0180;0300;0,3;B;9;5;2;2;2;4;4;1;0;;;;ЛОЖЬ
2993;Дундин А. А.;07.10.2021;0180-0320;DG86-0180-0320;DG;86;0180;0320;0,3;B;9;5;2;2;2;4;4;1;0;;;;ЛОЖЬ
2994;Дундин А. А.;07.10.2021;0180-0340;DG06-0180-0340;DG;06;0180;0340;0,3;B;4;6;2;2;2;3;4;1;0;;;;ЛОЖЬ
2995;Дундин А. А.;07.10.2021;0180-0360;DG06-0180-0360;DG;06;0180;0360;0,3;B;4;6;2;2;2;3;4;1;0;;;;ЛОЖЬ
2996;Дундин А. А.;07.10.2021;0180-0380;DG06-0180-0380;DG;06;0180;0380;0,3;B;4;5;2;2;2;3;4;1;0;;;;ЛОЖЬ
2997;Дундин А. А.;07.10.2021;0180-0400;DG06-0180-0400;DG;06;0180;0400;0,4;B;4;5;2;2;2;3;4;1;0;;;;ЛОЖЬ
2998;Дундин А. А.;07.10.2021;0180-0420;DG66-0180-0420;DG;66;0180;0420;0,4;B;4;5;2;2;2;3;3;1;0;;;;ЛОЖЬ
2999;Дундин А. А.;07.10.2021;0180-0440;DG66-0180-0440;DG;66;0180;0440;0,4;B;4;6;2;2;2;1;3;1;0;;;;ЛОЖЬ
3000;Дундин А. А.;07.10.2021;0180-0460;DG66-0180-0460;DG;66;0180;0460;0,4;B;4;6;2;2;2;3;3;1;0;;;;ЛОЖЬ
3001;Дундин А. А.;07.10.2021;0180-0480;DG06-0180-0480;DG;06;0180;0480;0,3;B;4;5;2;2;2;3;4;1;0;;;;ЛОЖЬ
3002;Дундин А. А.;07.10.2021;0180-0500;DG06-0180-0500;DG;06;0180;0500;0,3;B;4;5;2;2;2;4;4;1;0;;;;ЛОЖЬ
3003;Дундин А. А.;07.10.2021;0180-0520;DG06-0180-0520;DG;06;0180;0520;0,4;B;4;5;2;2;2;4;4;1;0;;;;ЛОЖЬ
3004;Дундин А. А.;07.10.2021;0180-0540;DG06-0180-0540;DG;06;0180;0540;0,3;B;4;5;2;2;2;4;4;1;0;;;;ЛОЖЬ
3005;Дундин А. А.;07.10.2021;0180-0560;DG06-0180-0560;DG;06;0180;0560;0,3;B;4;5;2;2;2;3;4;1;0;;;;ЛОЖЬ
3006;Дундин А. А.;07.10.2021;0180-0580;DG06-0180-0580;DG;06;0180;0580;0,3;B;4;5;2;2;2;3;4;1;0;;;;ЛОЖЬ
3007;Дундин А. А.;07.10.2021;0180-0600;DG06-0180-0600;DG;06;0180;0600;0,3;B;4;5;2;2;2;3;4;1;0;;;;ЛОЖЬ
3008;Дундин А. А.;07.10.2021;0180-0620;DG06-0180-0620;DG;06;0180;0620;0,3;B;4;5;2;2;2;3;4;1;0;;;;ЛОЖЬ
3009;Дундин А. А.;07.10.2021;0200-0620;DG06-0200-0620;DG;06;0200;0620;0,3;B;4;5;2;2;2;3;4;1;0;;;;ЛОЖЬ
3010;Дундин А. А.;07.10.2021;0200-0600;DG06-0200-0600;DG;06;0200;0600;0,3;B;4;5;2;2;2;3;5;1;0;;;;ЛОЖЬ
3011;Дундин А. А.;07.10.2021;0200-0580;DG06-0200-0580;DG;06;0200;0580;0,3;B;4;5;2;2;2;4;5;1;0;;;;ЛОЖЬ
3012;Дундин А. А.;07.10.2021;0200-0560;DG06-0200-0560;DG;06;0200;0560;0,3;B;4;5;2;2;2;4;5;1;0;;;;ЛОЖЬ
3013;Дундин А. А.;07.10.2021;0200-0540;DG06-0200-0540;DG;06;0200;0540;0,3;B;4;5;2;2;2;4;5;1;0;;;;ЛОЖЬ
3014;Дундин А. А.;07.10.2021;0200-0520;DG06-0200-0520;DG;06;0200;0520;0,3;B;4;5;2;2;2;4;4;1;0;;;;ЛОЖЬ
3015;Дундин А. А.;07.10.2021;0200-0500;DG06-0200-0500;DG;06;0200;0500;0,3;B;4;5;2;2;2;4;4;1;0;;;;ЛОЖЬ
3016;Дундин А. А.;07.10.2021;0200-0480;DG06-0200-0480;DG;06;0200;0480;0,3;B;4;5;2;2;2;4;4;1;0;;;;ЛОЖЬ
3017;Дундин А. А.;07.10.2021;0200-0460;DG66-0200-0460;DG;66;0200;0460;0,3;B;4;5;2;2;2;3;3;1;0;;;;ЛОЖЬ
3018;Дундин А. А.;07.10.2021;0200-0440;DG66-0200-0440;DG;66;0200;0440;0,4;B;4;6;2;2;2;1;3;1;0;;;;ЛОЖЬ
3019;Дундин А. А.;07.10.2021;0200-0420;DG66-0200-0420;DG;66;0200;0420;0,3;B;4;5;2;2;2;1;3;1;0;;;;ЛОЖЬ
3020;Дундин А. А.;07.10.2021;0200-0400;DG06-0200-0400;DG;06;0200;0400;0,4;B;4;5;2;2;2;1;3;1;0;;;;ЛОЖЬ
3021;Дундин А. А.;07.10.2021;0200-0380;DG06-0200-0380;DG;06;0200;0380;0,4;B;4;5;2;2;2;4;4;1;0;;;;ЛОЖЬ
3022;Дундин А. А.;07.10.2021;0200-0360;DG06-0200-0360;DG;06;0200;0360;0,3;B;4;5;2;2;2;4;4;1;0;;;;
3023;Дундин А. А.;07.10.2021;0200-0340;DG06-0200-0340;DG;06;0200;0340;0,3;B;4;5;2;2;2;4;4;1;0;;;;
3024;Дундин А. А.;07.10.2021;0200-0320;DG86-0200-0320;DG;86;0200;0320;0,3;B;9;5;2;2;2;2;4;1;0;;;;
3025;Дундин А. А.;07.10.2021;0200-0300;DG06-0200-0300;DG;06;0200;0300;0,3;B;4;5;2;2;2;4;4;1;0;;;;
3026;Дундин А. А.;07.10.2021;0200-0280;DG06-0200-0280;DG;06;0200;0280;0,3;B;4;5;2;2;2;3;4;1;0;;;;
3027;Дундин А. А.;07.10.2021;0200-0260;DG86-0200-0260;DG;86;0200;0260;0,3;B;9;5;2;2;2;2;4;1;0;;;;
3028;Дундин А. А.;07.10.2021;0200-0240;DG86-0200-0240;DG;86;0200;0240;0,3;B;9;5;2;2;2;4;4;1;0;;;;
3029;Дундин А. А.;07.11.2021;0540-0260;DG66-0540-0260;DG;66;0540;0260;0,4;B;4;6;2;2;2;4;5;1;0;;;;
3030;Дундин А. А.;07.11.2021;0540-0280;DG66-0540-0280;DG;66;0540;0280;0,5;B;4;6;2;2;2;4;5;1;0;;;;
3031;Дундин А. А.;07.11.2021;0540-0300;DG66-0540-0300;DG;66;0540;0300;0,4;B;4;6;2;2;2;1;3;1;0;;;;
3032;Дундин А. А.;07.11.2021;0540-0320;DG66-0540-0320;DG;66;0540;0320;0,4;B;4;6;2;2;2;1;3;1;0;;;;
3033;Дундин А. А.;07.11.2021;0540-0340;DG66-0540-0340;DG;66;0540;0340;0,4;B;4;6;2;2;2;1;3;1;0;;;;
3034;Дундин А. А.;07.11.2021;0540-0360;DG66-0540-0360;DG;66;0540;0360;0,4;B;4;6;2;2;2;1;3;1;0;;;;
3035;Дундин А. А.;07.11.2021;0540-0380;DG66-0540-0380;DG;66;0540;0380;0,4;B;4;6;2;2;2;1;3;1;0;;;;
3036;Дундин А. А.;07.11.2021;0540-0400;DG66-0540-0400;DG;66;0540;0400;0,4;B;4;5;2;2;2;4;4;1;0;;;;
3037;Дундин А. А.;07.11.2021;0540-0420;DG06-0540-0420;DG;06;0540;0420;0,4;B;4;5;2;2;2;4;4;1;0;;;;
3038;Дундин А. А.;07.11.2021;0540-0440;DG06-0540-0440;DG;06;0540;0440;0,4;B;4;6;2;2;2;4;4;1;0;;;;
3039;Дундин А. А.;07.11.2021;0540-0460;DG06-0540-0460;DG;06;0540;0460;0,4;B;4;6;2;2;2;4;4;1;0;;;;
3040;Дундин А. А.;07.11.2021;0540-0480;DG06-0540-0480;DG;06;0540;0480;0,4;B;4;6;2;2;2;4;4;1;0;;;;
3041;Дундин А. А.;07.11.2021;0540-0500;DG06-0540-0500;DG;06;0540;0500;0,4;B;4;6;2;2;2;4;5;1;0;;;;
3042;Дундин А. А.;07.11.2021;0540-0520;DG06-0540-0520;DG;06;0540;0520;0,4;B;4;6;2;2;2;3;4;1;0;;;;
3043;Дундин А. А.;07.11.2021;0540-0540;DG66-0540-0540;DG;66;0540;0540;0,4;B;4;6;2;2;2;3;4;1;0;;;;
3044;Дундин А. А.;07.11.2021;0540-0560;DG66-0540-0560;DG;66;0540;0560;0,4;B;4;6;2;2;2;3;5;1;0;;;;
3045;Дундин А. А.;07.11.2021;0540-0580;DG66-0540-0580;DG;66;0540;0580;0,4;B;4;6;2;2;2;1;3;1;0;;;;
3046;Дундин А. А.;07.11.2021;0540-0600;DG66-0540-0600;DG;66;0540;0600;0,4;B;4;6;2;2;2;1;3;1;0;;;;
3047;Дундин А. А.;07.11.2021;0540-0620;DG66-0540-0620;DG;66;0540;0620;0,4;B;4;6;2;2;2;1;3;1;0;;;;
3048;Дундин А. А.;07.11.2021;0540-0640;DG66-0540-0640;DG;66;0540;0640;0,4;B;4;6;2;2;2;1;3;1;0;;;;
3049;Дундин А. А.;07.11.2021;0540-0660;DG66-0540-0660;DG;66;0540;0660;0,4;B;4;6;2;2;2;1;3;1;0;;;;
3050;Дундин А. А.;07.11.2021;0560-0660;DG66-0560-0660;DG;66;0560;0660;0,4;B;4;6;2;2;2;1;5;1;0;;;;
3051;Дундин А. А.;07.11.2021;0560-0640;DG66-0560-0640;DG;66;0560;0640;0,4;B;4;6;2;2;2;1;5;1;0;;;;
3052;Дундин А. А.;07.11.2021;0560-0620;DG66-0560-0620;DG;66;0560;0620;0,4;B;4;6;2;2;2;1;5;1;0;;;;
3053;Дундин А. А.;07.11.2021;0560-0600;DG66-0560-0600;DG;66;0560;0600;0,4;B;4;6;2;2;2;1;5;1;0;;;;
3054;Дундин А. А.;07.11.2021;0560-0580;DG66-0560-0580;DG;66;0560;0580;0,4;B;4;6;2;2;2;1;5;1;0;;;;
3055;Дундин А. А.;07.11.2021;0560-0560;-0560-0560;;;0560;0560;;;;;;;;;;;;Проба не отбиралась, болото;;;
3056;Дундин А. А.;07.11.2021;0560-0540;-0560-0540;;;0560;0540;;;;;;;;;;;;Проба не отбиралась, болото;;;
3057;Дундин А. А.;07.11.2021;0560-0520;DG66-0560-0520;DG;66;0560;0520;0,4;B;4;6;2;2;2;3;4;1;0;;;;
3058;Дундин А. А.;07.11.2021;0560-0500;DG06-0560-0500;DG;06;0560;0500;0,4;B;4;6;2;2;2;4;4;1;0;;;;
3059;Дундин А. А.;07.11.2021;0560-0480;DG06-0560-0480;DG;06;0560;0480;0,4;B;4;6;2;2;2;4;4;1;0;;;;
3060;Дундин А. А.;07.11.2021;0560-0460;DG06-0560-0460;DG;06;0560;0460;0,4;B;4;6;2;2;2;4;4;1;0;;;;
3061;Дундин А. А.;07.11.2021;0560-0440;DG06-0560-0440;DG;06;0560;0440;0,4;B;4;6;2;2;2;4;4;1;0;;;;
3062;Дундин А. А.;07.11.2021;0560-0280;DG66-0560-0280;DG;66;0560;0280;0,4;B;4;6;2;2;2;4;4;1;0;;;;
3063;Дундин А. А.;07.11.2021;0560-0300;DG66-0560-0300;DG;66;0560;0300;0,4;B;4;6;2;2;2;4;5;1;0;;;;
