Код;Y;X;Z;Флаг;;;;;;;;;;;;;;
0060-0320;51.48605 ;118.06648;801 m;Flag, Red;;;;;;;;;;;;;;
0060-0340;51.48521 ;118.06873;793 m;Flag, Red;;;;;;;;;;;;;;
0060-0360;51.48455 ;118.07191;770 m;Flag, Red;;;;;;;;;;;;;;
0060-0380;51.48369 ;118.07486;762 m;Flag, Red;;;;;;;;;;;;;;
0060-0400;51.48263 ;118.07651;753 m;Flag, Red;;;;;;;;;;;;;;
0060-0420;51.48217 ;118.07862;749 m;Flag, Green;;;;;;;;;;;;;;
0060-0440;51.48033 ;118.08312;744 m;Flag, Green;;;;;;;;;;;;;;
0060-0460;51.47924 ;118.08506;746 m;Flag, Green;;;;;;;;;;;;;;
0060-0480;51.47854 ;118.08716;755 m;Flag, Green;;;;;;;;;;;;;;
0060-0500;51.47820 ;118.08793;755 m;Flag, Green;;;;;;;;;;;;;;
0060-0520;51.47715 ;118.09178;772 m;Flag, Red;;;;;;;;;;;;;;
0060-0540;51.47607 ;118.09399;777 m;Flag, Red;;;;;;;;;;;;;;
0060-0560;51.47450 ;118.09661;788 m;Flag, Red;;;;;;;;;;;;;;
0060-0580;51.47361 ;118.09810;817 m;Flag, Red;;;;;;;;;;;;;;
0060-0600;51.47271 ;118.10154;842 m;Flag, Red;;;;;;;;;;;;;;
0060-0620;51.47297 ;118.10408;843 m;Flag, Red;;;;;;;;;;;;;;
0060-0640;51.47226 ;118.10620;817 m;Flag, Red;;;;;;;;;;;;;;
0060-0660;51.47047 ;118.10877;798 m;Flag, Green;;;;;;;;;;;;;;
0060-0680;51.46939 ;118.11175;794 m;Flag, Green;;;;;;;;;;;;;;
0060-0700;51.46940 ;118.11355;793 m;Flag, Green;;;;;;;;;;;;;;
0060-0720;51.46774 ;118.11700;798 m;Flag, Green;;;;;;;;;;;;;;
0060-0740;51.46679 ;118.12024;801 m;Flag, Green;;;;;;;;;;;;;;
0060-0760;51.46605 ;118.12268;803 m;Flag, Red;;;;;;;;;;;;;;
0060-0780;51.46541 ;118.12504;807 m;Flag, Red;;;;;;;;;;;;;;
0060-0800;51.46426 ;118.12706;821 m;Flag, Red;;;;;;;;;;;;;;
0060-0820;51.46387 ;118.12803;831 m;Flag, Red;;;;;;;;;;;;;;
0060-0840;51.46157 ;118.13085;886 m;Flag, Red;;;;;;;;;;;;;;
0060-0860;51.46179 ;118.13458;855 m;Flag, Red;;;;;;;;;;;;;;
0060-0880;51.46111 ;118.13627;863 m;Flag, Red;;;;;;;;;;;;;;
0060-0900;51.45998 ;118.13950;831 m;Flag, Red;;;;;;;;;;;;;;
0060-0920;51.45907 ;118.14065;819 m;Flag, Red;;;;;;;;;;;;;;
0060-0940;51.45773 ;118.14273;847 m;Flag, Red;;;;;;;;;;;;;;
0060-0960;51.45669 ;118.14605;851 m;Flag, Red;;;;;;;;;;;;;;
0060-0980;51.45561 ;118.14848;825 m;Flag, Red;;;;;;;;;;;;;;
0060-1000;51.45486 ;118.15088;794 m;Flag, Red;;;;;;;;;;;;;;
0060-1020;51.45381 ;118.15317;775 m;Flag, Red;;;;;;;;;;;;;;
0060-1040;51.45288 ;118.15578;765 m;Flag, Red;;;;;;;;;;;;;;
0060-1060;51.45179 ;118.15832;759 m;Flag, Red;;;;;;;;;;;;;;
0060-1080;51.45113 ;118.16066;764 m;Flag, Red;;;;;;;;;;;;;;
0060-1100;51.45028 ;118.16334;767 m;Flag, Red;;;;;;;;;;;;;;
0060-1120;51.44924 ;118.16569;774 m;Flag, Red;;;;;;;;;;;;;;
0060-1120K;51.44924 ;118.16569;774 m;Waypoint;;;;;;;;;;;;;;Категория 2
0060-1140;51.44812 ;118.16823;775 m;Flag, Red;;;;;;;;;;;;;;
0060-1140K;51.44812 ;118.16823;775 m;Waypoint;;;;;;;;;;;;;;Категория 2
0060-1160;51.44735 ;118.17041;776 m;Flag, Red;;;;;;;;;;;;;;
0060-1160K;51.44735 ;118.17041;776 m;Waypoint;;;;;;;;;;;;;;Категория 2
0060-1180;51.44648 ;118.17316;785 m;Flag, Red;;;;;;;;;;;;;;
0060-1200;51.44552 ;118.17545;796 m;Flag, Red;;;;;;;;;;;;;;
