Код;Y;X;Z;Флаг;;;;;;;;;;;;;;
0800-0840;51.51927 ;118.18587;752 m;Flag, Green;;;;;;;;;;;;;;
0800-0860;51.51835 ;118.18846;750 m;Flag, Green;;;;;;;;;;;;;;
0800-0880;51.51736 ;118.19080;758 m;Flag, Green;;;;;;;;;;;;;;
0800-0900;51.51625 ;118.19357;762 m;Flag, Red;;;;;;;;;;;;;;
0800-0920;51.51526 ;118.19593;769 m;Flag, Red;;;;;;;;;;;;;;
0800-0940;51.51448 ;118.19837;784 m;Flag, Red;;;;;;;;;;;;;;
0800-0960;51.51387 ;118.20102;794 m;Flag, Red;;;;;;;;;;;;;;
0800-0980;51.51277 ;118.20314;818 m;Flag, Red;;;;;;;;;;;;;;
0800-1000;51.51187 ;118.20565;851 m;Flag, Red;;;;;;;;;;;;;;
0800-1020;51.51081 ;118.20935;876 m;Flag, Red;;;;;;;;;;;;;;
0800-1040;51.50938 ;118.21015;829 m;Flag, Red;;;;;;;;;;;;;;
0800-1060;51.50834 ;118.21230;799 m;Flag, Red;;;;;;;;;;;;;;
0800-1080;51.50747 ;118.21470;774 m;Flag, Red;;;;;;;;;;;;;;
0800-1100;51.50645 ;118.21735;762 m;Flag, Red;;;;;;;;;;;;;;
0800-1120;51.50565 ;118.21956;748 m;Flag, Red;;;;;;;;;;;;;;
0800-1140;51.50469 ;118.22208;755 m;Flag, Red;;;;;;;;;;;;;;
0800-1160;51.50374 ;118.22470;778 m;Flag, Red;;;;;;;;;;;;;;
0800-1180;51.50298 ;118.22642;803 m;Flag, Red;;;;;;;;;;;;;;
0800-1200;51.50193 ;118.22949;845 m;Flag, Red;;;;;;;;;;;;;;
0800-1220;51.50116 ;118.23240;805 m;Flag, Red;;;;;;;;;;;;;;
0800-1240;51.50018 ;118.23462;774 m;Flag, Red;;;;;;;;;;;;;;
0800-1260;51.49939 ;118.23664;766 m;Flag, Red;;;;;;;;;;;;;;
0800-1280;51.49856 ;118.23903;739 m;Flag, Red;;;;;;;;;;;;;;
0800-1300;51.49785 ;118.24388;728 m;Flag, Green;;;;;;;;;;;;;;
0800-1320;51.49713 ;118.24534;722 m;Flag, Green;;;;;;;;;;;;;;
0800-1340;51.49615 ;118.24773;718 m;Flag, Green;;;;;;;;;;;;;;
0800-1360;51.49512 ;118.25013;711 m;Flag, Green;;;;;;;;;;;;;;
0800-1380;51.49415 ;118.25248;706 m;Flag, Green;;;;;;;;;;;;;;
0800-1400;51.49330 ;118.25499;705 m;Flag, Green;;;;;;;;;;;;;;
0800-1420;51.49258 ;118.25838;704 m;Flag, Green;;;;;;;;;;;;;;
0800-1440;51.49176 ;118.26052;706 m;Flag, Green;;;;;;;;;;;;;;
0800-1460;51.49051 ;118.26252;719 m;Flag, Green;;;;;;;;;;;;;;
0800-1480;51.48988 ;118.26362;730 m;Flag, Green;;;;;;;;;;;;;;
0820-0400;51.54125 ;118.13419;776 m;Flag, Green;;;;;;;;;;;;;;
0820-0420;51.54012 ;118.13641;779 m;Flag, Green;;;;;;;;;;;;;;
0820-0440;51.53921 ;118.13823;787 m;Flag, Green;;;;;;;;;;;;;;
0820-0460;51.53826 ;118.14074;792 m;Flag, Green;;;;;;;;;;;;;;
0820-0480;51.53751 ;118.14274;792 m;Flag, Red;;;;;;;;;;;;;;
0820-0500;51.53686 ;118.14503;790 m;Flag, Red;;;;;;;;;;;;;;
0820-0520;51.53596 ;118.14774;781 m;Flag, Red;;;;;;;;;;;;;;
0820-0540;51.53488 ;118.15057;770 m;Flag, Red;;;;;;;;;;;;;;
0820-0560;51.53391 ;118.15308;769 m;Flag, Green;;;;;;;;;;;;;;
0820-0580;51.53290 ;118.15545;766 m;Flag, Green;;;;;;;;;;;;;;
0820-0600;51.53174 ;118.15769;760 m;Flag, Green;;;;;;;;;;;;;;
0820-0620;51.53076 ;118.15987;756 m;Flag, Green;;;;;;;;;;;;;;
0820-0640;51.52977 ;118.16284;754 m;Flag, Green;;;;;;;;;;;;;;
0820-0660;51.52905 ;118.16598;749 m;Flag, Green;;;;;;;;;;;;;;
0820-0680;51.52842 ;118.16804;751 m;Flag, Green;;;;;;;;;;;;;;
0820-0700;51.52757 ;118.17000;747 m;Flag, Green;;;;;;;;;;;;;;
0820-0720;51.52609 ;118.17301;747 m;Flag, Green;;;;;;;;;;;;;;
0820-0740;51.52537 ;118.17498;749 m;Flag, Green;;;;;;;;;;;;;;
0820-0760;51.52466 ;118.17715;747 m;Flag, Green;;;;;;;;;;;;;;
0820-0780;51.52351 ;118.18007;746 m;Flag, Green;;;;;;;;;;;;;;
0820-0800;51.52263 ;118.18229;743 m;Flag, Green;;;;;;;;;;;;;;
0820-0820;51.52174 ;118.18483;745 m;Flag, Green;;;;;;;;;;;;;;
0820-0840;51.52073 ;118.18722;751 m;Flag, Green;;;;;;;;;;;;;;
0820-0860;51.51985 ;118.18973;755 m;Flag, Green;;;;;;;;;;;;;;
0820-0880;51.51886 ;118.19229;759 m;Flag, Red;;;;;;;;;;;;;;
0820-0900;51.51802 ;118.19449;765 m;Flag, Red;;;;;;;;;;;;;;
0820-0920;51.51697 ;118.19736;774 m;Flag, Red;;;;;;;;;;;;;;
0820-0940;51.51621 ;118.19951;787 m;Flag, Red;;;;;;;;;;;;;;
0820-0960;51.51522 ;118.20242;810 m;Flag, Red;;;;;;;;;;;;;;
0820-0980;51.51402 ;118.20480;825 m;Flag, Red;;;;;;;;;;;;;;
0820-1000;51.51347 ;118.20699;853 m;Flag, Red;;;;;;;;;;;;;;
0820-1020;51.51161 ;118.20960;890 m;Flag, Red;;;;;;;;;;;;;;
0820-1040;51.51074 ;118.21188;856 m;Flag, Red;;;;;;;;;;;;;;
0820-1060;51.51002 ;118.21408;809 m;Flag, Red;;;;;;;;;;;;;;
0820-1080;51.50921 ;118.21624;784 m;Flag, Red;;;;;;;;;;;;;;
0820-1100;51.50811 ;118.21911;768 m;Flag, Red;;;;;;;;;;;;;;
0820-1120;51.50731 ;118.22171;757 m;Flag, Red;;;;;;;;;;;;;;
0820-1140;51.50621 ;118.22413;775 m;Flag, Red;;;;;;;;;;;;;;
0820-1160;51.50542 ;118.22654;804 m;Flag, Red;;;;;;;;;;;;;;
0820-1180;51.50466 ;118.22905;866 m;Flag, Red;;;;;;;;;;;;;;
0820-1200;51.50364 ;118.23159;894 m;Flag, Red;;;;;;;;;;;;;;
0820-1220;51.50256 ;118.23402;842 m;Flag, Red;;;;;;;;;;;;;;
0820-1240;51.50163 ;118.23639;825 m;Flag, Red;;;;;;;;;;;;;;
0820-1260;51.50096 ;118.23897;773 m;Flag, Red;;;;;;;;;;;;;;
0820-1280;51.49977 ;118.24126;745 m;Flag, Red;;;;;;;;;;;;;;
0820-1300;51.49914 ;118.24519;739 m;Flag, Green;;;;;;;;;;;;;;
0820-1320;51.49838 ;118.24680;735 m;Flag, Green;;;;;;;;;;;;;;
0820-1340;51.49762 ;118.24895;732 m;Flag, Green;;;;;;;;;;;;;;
0820-1360;51.49668 ;118.25150;721 m;Flag, Green;;;;;;;;;;;;;;
0820-1380;51.49592 ;118.25401;726 m;Flag, Green;;;;;;;;;;;;;;
0820-1400;51.49490 ;118.25648;722 m;Flag, Green;;;;;;;;;;;;;;
0820-1420;51.49415 ;118.25929;725 m;Flag, Green;;;;;;;;;;;;;;
0820-1440;51.49319 ;118.26142;729 m;Flag, Green;;;;;;;;;;;;;;
0820-1460;51.49207 ;118.26390;730 m;Flag, Green;;;;;;;;;;;;;;
0820-1480;51.49178 ;118.26544;727 m;Flag, Green;;;;;;;;;;;;;;
0840-0400;51.54220 ;118.13483;788 m;Flag, Green;;;;;;;;;;;;;;
0840-0420;51.54150 ;118.13739;791 m;Flag, Green;;;;;;;;;;;;;;
0840-0440;51.54080 ;118.13935;790 m;Flag, Red;;;;;;;;;;;;;;
0840-0460;51.54008 ;118.14225;788 m;Flag, Red;;;;;;;;;;;;;;
0840-0480;51.53899 ;118.14462;784 m;Flag, Red;;;;;;;;;;;;;;
0840-0500;51.53822 ;118.14685;778 m;Flag, Red;;;;;;;;;;;;;;
0840-0520;51.53721 ;118.14950;769 m;Flag, Red;;;;;;;;;;;;;;
0840-0540;51.53597 ;118.15171;766 m;Flag, Green;;;;;;;;;;;;;;
0840-0560;51.53523 ;118.15426;753 m;Flag, Green;;;;;;;;;;;;;;
0840-0580;51.53426 ;118.15672;753 m;Flag, Green;;;;;;;;;;;;;;
0840-0600;51.53348 ;118.15946;752 m;Flag, Green;;;;;;;;;;;;;;
0840-0620;51.53255 ;118.16181;753 m;Flag, Green;;;;;;;;;;;;;;
0840-0640;51.53154 ;118.16413;750 m;Flag, Green;;;;;;;;;;;;;;
0840-0660;51.53055 ;118.16672;751 m;Flag, Green;;;;;;;;;;;;;;
0840-0680;51.52958 ;118.16918;752 m;Flag, Green;;;;;;;;;;;;;;
0840-0700;51.52862 ;118.17136;748 m;Flag, Green;;;;;;;;;;;;;;
0840-0720;51.52771 ;118.17436;748 m;Flag, Green;;;;;;;;;;;;;;
0840-0740;51.52691 ;118.17648;748 m;Flag, Green;;;;;;;;;;;;;;
0840-0760;51.52608 ;118.17865;743 m;Flag, Green;;;;;;;;;;;;;;
0840-0780;51.52510 ;118.18172;743 m;Flag, Green;;;;;;;;;;;;;;
0840-0800;51.52421 ;118.18471;752 m;Flag, Green;;;;;;;;;;;;;;
0840-0820;51.52377 ;118.18697;757 m;Flag, Green;;;;;;;;;;;;;;
0840-0840;51.52267 ;118.18929;755 m;Flag, Green;;;;;;;;;;;;;;
0840-0860;51.52168 ;118.19079;755 m;Flag, Red;;;;;;;;;;;;;;
0840-0860K;51.52168 ;118.19079;755 m;Waypoint;;;;;;;;;;;;;;Категория 2
0840-0880;51.52100 ;118.19429;769 m;Flag, Red;;;;;;;;;;;;;;
0840-0880K;51.52100 ;118.19429;769 m;Waypoint;;;;;;;;;;;;;;
0840-0900;51.51969 ;118.19648;777 m;Flag, Red;;;;;;;;;;;;;;
0840-0920;51.51866 ;118.19909;800 m;Flag, Red;;;;;;;;;;;;;;
0840-0940;51.51835 ;118.20139;816 m;Flag, Red;;;;;;;;;;;;;;
0840-0960;51.51682 ;118.20343;822 m;Flag, Red;;;;;;;;;;;;;;
0840-0980;51.51598 ;118.20623;844 m;Flag, Red;;;;;;;;;;;;;;
0840-1000;51.51486 ;118.20873;864 m;Flag, Red;;;;;;;;;;;;;;
0840-1020;51.51398 ;118.21101;855 m;Flag, Red;;;;;;;;;;;;;;
0840-1040;51.51316 ;118.21345;845 m;Flag, Red;;;;;;;;;;;;;;
0840-1060;51.51208 ;118.21619;815 m;Flag, Red;;;;;;;;;;;;;;
0840-1080;51.51129 ;118.21860;798 m;Flag, Red;;;;;;;;;;;;;;
0840-1100;51.51042 ;118.22039;789 m;Flag, Red;;;;;;;;;;;;;;
0840-1120;51.50926 ;118.22378;773 m;Flag, Red;;;;;;;;;;;;;;
0840-1140;51.50845 ;118.22593;798 m;Flag, Red;;;;;;;;;;;;;;
0840-1160;51.50752 ;118.22827;816 m;Flag, Red;;;;;;;;;;;;;;
0840-1180;51.50658 ;118.23078;851 m;Flag, Red;;;;;;;;;;;;;;
0840-1200;51.50575 ;118.23305;906 m;Flag, Red;;;;;;;;;;;;;;
0840-1220;51.50531 ;118.23461;881 m;Flag, Red;;;;;;;;;;;;;;
0840-1240;51.50388 ;118.23836;799 m;Flag, Red;;;;;;;;;;;;;;
0840-1260;51.50262 ;118.24158;753 m;Flag, Red;;;;;;;;;;;;;;
0840-1280;51.50188 ;118.24342;752 m;Flag, Red;;;;;;;;;;;;;;
0840-1300;51.50121 ;118.24559;754 m;Flag, Red;;;;;;;;;;;;;;
0840-1320;51.49984 ;118.24935;749 m;Flag, Red;;;;;;;;;;;;;;
0840-1340;51.49916 ;118.25059;746 m;Flag, Red;;;;;;;;;;;;;;
0840-1360;51.49824 ;118.25314;740 m;Flag, Green;;;;;;;;;;;;;;
0840-1380;51.49729 ;118.25545;736 m;Flag, Green;;;;;;;;;;;;;;
0840-1400;51.49640 ;118.25796;736 m;Flag, Green;;;;;;;;;;;;;;
0840-1420;51.49558 ;118.26068;739 m;Flag, Green;;;;;;;;;;;;;;
0840-1440;51.49465 ;118.26300;740 m;Flag, Green;;;;;;;;;;;;;;
0840-1460;51.49360 ;118.26546;730 m;Flag, Green;;;;;;;;;;;;;;
0840-1480;51.49265 ;118.26681;727 m;Flag, Green;;;;;;;;;;;;;;
0860-0400;51.54395 ;118.13706;803 m;Flag, Red;;;;;;;;;;;;;;
0860-0420;51.54317 ;118.13900;799 m;Flag, Red;;;;;;;;;;;;;;
0860-0440;51.54241 ;118.14088;796 m;Flag, Green;;;;;;;;;;;;;;
0860-0460;51.54137 ;118.14359;789 m;Flag, Green;;;;;;;;;;;;;;
0860-0480;51.54059 ;118.14585;781 m;Flag, Green;;;;;;;;;;;;;;
0860-0500;51.53959 ;118.14838;775 m;Flag, Green;;;;;;;;;;;;;;
0860-0520;51.53870 ;118.14969;772 m;Flag, Green;;;;;;;;;;;;;;
0860-0540;51.53743 ;118.15197;766 m;Flag, Green;;;;;;;;;;;;;;
0860-0560;51.53659 ;118.15567;773 m;Flag, Green;;;;;;;;;;;;;;
0860-0580;51.53591 ;118.15880;767 m;Flag, Green;;;;;;;;;;;;;;
0860-0600;51.53510 ;118.16101;769 m;Flag, Green;;;;;;;;;;;;;;
0860-0620;51.53409 ;118.16317;766 m;Flag, Green;;;;;;;;;;;;;;
0860-0640;51.53329 ;118.16577;767 m;Flag, Green;;;;;;;;;;;;;;
0860-0660;51.53192 ;118.16901;764 m;Flag, Green;;;;;;;;;;;;;;
0860-0680;51.53124 ;118.17054;767 m;Flag, Green;;;;;;;;;;;;;;
0860-0700;51.53037 ;118.17311;767 m;Flag, Green;;;;;;;;;;;;;;
0860-0720;51.52937 ;118.17568;769 m;Flag, Green;;;;;;;;;;;;;;
0860-0740;51.52848 ;118.17817;764 m;Flag, Green;;;;;;;;;;;;;;
0860-0760;51.52761 ;118.18053;752 m;Flag, Green;;;;;;;;;;;;;;
0860-0780;51.52695 ;118.18309;746 m;Flag, Green;;;;;;;;;;;;;;
0860-0800;51.52561 ;118.18535;748 m;Flag, Green;;;;;;;;;;;;;;
0860-0820;51.52505 ;118.18794;765 m;Flag, Red;;;;;;;;;;;;;;
0860-0840;51.52387 ;118.19039;765 m;Flag, Red;;;;;;;;;;;;;;
0860-0860;51.52302 ;118.19279;770 m;Flag, Red;;;;;;;;;;;;;;
0860-0880;51.52213 ;118.19547;781 m;Flag, Red;;;;;;;;;;;;;;
0860-0900;51.52097 ;118.19768;789 m;Flag, Red;;;;;;;;;;;;;;
0860-0900K;51.52097 ;118.19768;789 m;Waypoint;;;;;;;;;;;;;;
0860-0920;51.52012 ;118.20028;818 m;Flag, Red;;;;;;;;;;;;;;
0860-0940;51.51931 ;118.20241;818 m;Flag, Red;;;;;;;;;;;;;;
0860-0960;51.51820 ;118.20502;840 m;Flag, Red;;;;;;;;;;;;;;
0860-0980;51.51731 ;118.20804;872 m;Flag, Red;;;;;;;;;;;;;;
0860-1000;51.51657 ;118.21010;874 m;Flag, Red;;;;;;;;;;;;;;
0860-1020;51.51548 ;118.21273;861 m;Flag, Red;;;;;;;;;;;;;;
0860-1040;51.51456 ;118.21506;837 m;Flag, Red;;;;;;;;;;;;;;
0860-1060;51.51380 ;118.21732;823 m;Flag, Red;;;;;;;;;;;;;;
0860-1080;51.51286 ;118.21989;809 m;Flag, Red;;;;;;;;;;;;;;
0860-1100;51.51201 ;118.22243;802 m;Flag, Red;;;;;;;;;;;;;;
0860-1120;51.51078 ;118.22533;798 m;Flag, Red;;;;;;;;;;;;;;
0860-1140;51.50987 ;118.22747;812 m;Flag, Red;;;;;;;;;;;;;;
0860-1160;51.50910 ;118.23003;837 m;Flag, Red;;;;;;;;;;;;;;
0860-1180;51.50828 ;118.23249;840 m;Flag, Red;;;;;;;;;;;;;;
0860-1200;51.50752 ;118.23450;829 m;Flag, Red;;;;;;;;;;;;;;
0860-1220;51.50629 ;118.23751;798 m;Flag, Red;;;;;;;;;;;;;;
0860-1240;51.50540 ;118.23961;785 m;Flag, Red;;;;;;;;;;;;;;
0860-1260;51.50455 ;118.24194;776 m;Flag, Red;;;;;;;;;;;;;;
0860-1280;51.50353 ;118.24458;773 m;Flag, Red;;;;;;;;;;;;;;
0860-1300;51.50259 ;118.24673;774 m;Flag, Red;;;;;;;;;;;;;;
0860-1320;51.50093 ;118.25032;757 m;Flag, Red;;;;;;;;;;;;;;
0860-1340;51.50062 ;118.25129;751 m;Flag, Red;;;;;;;;;;;;;;
0860-1360;51.49958 ;118.25430;748 m;Flag, Red;;;;;;;;;;;;;;
0860-1380;51.49881 ;118.25656;745 m;Flag, Red;;;;;;;;;;;;;;
0860-1400;51.49782 ;118.25905;743 m;Flag, Green;;;;;;;;;;;;;;
0860-1420;51.49709 ;118.26190;742 m;Flag, Green;;;;;;;;;;;;;;
0860-1440;51.49626 ;118.26443;736 m;Flag, Green;;;;;;;;;;;;;;
0860-1460;51.49577 ;118.26589;731 m;Flag, Green;;;;;;;;;;;;;;
0880-0400;51.54519 ;118.13779;812 m;Flag, Red;;;;;;;;;;;;;;
0880-0420;51.54477 ;118.13985;806 m;Flag, Red;;;;;;;;;;;;;;
0880-0440;51.54391 ;118.14230;796 m;Flag, Red;;;;;;;;;;;;;;
0880-0460;51.54293 ;118.14477;785 m;Flag, Red;;;;;;;;;;;;;;
0880-0480;51.54193 ;118.14732;781 m;Flag, Red;;;;;;;;;;;;;;
0880-0500;51.54129 ;118.14993;775 m;Crossing;;;;;;;;;;;;;;
0880-0520;51.54022 ;118.15332;775 m;Flag, Red;;;;;;;;;;;;;;
0880-0540;51.53940 ;118.15548;775 m;Flag, Red;;;;;;;;;;;;;;
0880-0560;51.53862 ;118.15768;779 m;Flag, Red;;;;;;;;;;;;;;
0880-0580;51.53746 ;118.15975;777 m;Flag, Green;;;;;;;;;;;;;;
0880-0600;51.53651 ;118.16217;767 m;Flag, Green;;;;;;;;;;;;;;
0880-0620;51.53537 ;118.16475;764 m;Flag, Green;;;;;;;;;;;;;;
0880-0640;51.53442 ;118.16720;765 m;Flag, Green;;;;;;;;;;;;;;
0880-0660;51.53375 ;118.16895;761 m;Flag, Green;;;;;;;;;;;;;;
0880-0680;51.53245 ;118.17211;771 m;Flag, Green;;;;;;;;;;;;;;
0880-0700;51.53155 ;118.17468;773 m;Flag, Red;;;;;;;;;;;;;;
0880-0720;51.53088 ;118.17712;772 m;Flag, Red;;;;;;;;;;;;;;
0880-0740;51.53014 ;118.17916;763 m;Flag, Red;;;;;;;;;;;;;;
0880-0760;51.52952 ;118.18096;761 m;Flag, Red;;;;;;;;;;;;;;
0880-0780;51.52864 ;118.18330;751 m;Flag, Green;;;;;;;;;;;;;;
0880-0800;51.52727 ;118.18687;759 m;Flag, Red;;;;;;;;;;;;;;
0880-0820;51.52645 ;118.18937;768 m;Flag, Red;;;;;;;;;;;;;;
0880-0840;51.52538 ;118.19178;772 m;Flag, Red;;;;;;;;;;;;;;
0880-0840K;51.52538 ;118.19178;772 m;Waypoint;;;;;;;;;;;;;;Категория 2
0880-0860;51.52445 ;118.19430;782 m;Flag, Red;;;;;;;;;;;;;;
0880-0880;51.52392 ;118.19623;793 m;Flag, Red;;;;;;;;;;;;;;
0880-0900;51.52245 ;118.19891;813 m;Flag, Red;;;;;;;;;;;;;;
0880-0920;51.52173 ;118.20159;836 m;Flag, Red;;;;;;;;;;;;;;
0880-0940;51.52051 ;118.20387;859 m;Flag, Red;;;;;;;;;;;;;;
0880-0960;51.51964 ;118.20758;879 m;Flag, Red;;;;;;;;;;;;;;
0880-0980;51.51826 ;118.20996;911 m;Flag, Red;;;;;;;;;;;;;;
0880-1000;51.51780 ;118.21189;894 m;Flag, Red;;;;;;;;;;;;;;
0880-1020;51.51727 ;118.21427;872 m;Flag, Red;;;;;;;;;;;;;;
0880-1040;51.51593 ;118.21673;847 m;Flag, Red;;;;;;;;;;;;;;
0880-1060;51.51556 ;118.21802;842 m;Flag, Red;;;;;;;;;;;;;;
0880-1080;51.51432 ;118.22145;830 m;Flag, Red;;;;;;;;;;;;;;
0880-1100;51.51373 ;118.22339;824 m;Flag, Red;;;;;;;;;;;;;;
0880-1120;51.51259 ;118.22663;812 m;Flag, Red;;;;;;;;;;;;;;
0880-1140;51.51109 ;118.22957;838 m;Flag, Red;;;;;;;;;;;;;;
0880-1160;51.51031 ;118.23171;849 m;Flag, Red;;;;;;;;;;;;;;
0880-1180;51.50975 ;118.23370;844 m;Flag, Red;;;;;;;;;;;;;;
0880-1200;51.50912 ;118.23582;823 m;Flag, Red;;;;;;;;;;;;;;
0880-1220;51.50799 ;118.23837;797 m;Flag, Red;;;;;;;;;;;;;;
0880-1240;51.50651 ;118.24051;783 m;Flag, Red;;;;;;;;;;;;;;
0880-1260;51.50515 ;118.24341;787 m;Flag, Red;;;;;;;;;;;;;;
0880-1280;51.50445 ;118.24538;786 m;Flag, Red;;;;;;;;;;;;;;
0880-1300;51.50340 ;118.24808;796 m;Flag, Red;;;;;;;;;;;;;;
0880-1320;51.50316 ;118.25207;783 m;Flag, Red;;;;;;;;;;;;;;
0880-1340;51.50224 ;118.25349;771 m;Flag, Red;;;;;;;;;;;;;;
0880-1360;51.50152 ;118.25484;764 m;Flag, Red;;;;;;;;;;;;;;
0880-1380;51.50043 ;118.25858;756 m;Flag, Red;;;;;;;;;;;;;;
0880-1400;51.49966 ;118.26107;745 m;Flag, Red;;;;;;;;;;;;;;
0880-1420;51.49870 ;118.26368;734 m;Flag, Red;;;;;;;;;;;;;;
0880-1440;51.49777 ;118.26595;726 m;Flag, Green;;;;;;;;;;;;;;
0880-1460;51.49731 ;118.26755;720 m;Flag, Green;;;;;;;;;;;;;;
0900-0400;51.54729 ;118.14025;812 m;Flag, Red;;;;;;;;;;;;;;
0900-0420;51.54636 ;118.14134;807 m;Flag, Red;;;;;;;;;;;;;;
0900-0440;51.54542 ;118.14372;796 m;Flag, Red;;;;;;;;;;;;;;
0900-0460;51.54448 ;118.14622;786 m;Flag, Green;;;;;;;;;;;;;;
0900-0480;51.54389 ;118.14977;780 m;Flag, Green;;;;;;;;;;;;;;
0900-0500;51.54279 ;118.15151;783 m;Flag, Green;;;;;;;;;;;;;;
0900-0520;51.54175 ;118.15320;779 m;Flag, Green;;;;;;;;;;;;;;
0900-0540;51.54026 ;118.15602;781 m;Flag, Red;;;;;;;;;;;;;;
0900-0560;51.53942 ;118.15830;783 m;Flag, Red;;;;;;;;;;;;;;
0900-0580;51.53859 ;118.16098;781 m;Flag, Red;;;;;;;;;;;;;;
0900-0600;51.53745 ;118.16363;775 m;Flag, Red;;;;;;;;;;;;;;
0900-0620;51.53677 ;118.16606;777 m;Flag, Red;;;;;;;;;;;;;;
0900-0640;51.53611 ;118.16789;779 m;Flag, Red;;;;;;;;;;;;;;
0900-0660;51.53485 ;118.17109;775 m;Flag, Red;;;;;;;;;;;;;;
0900-0680;51.53392 ;118.17299;786 m;Flag, Red;;;;;;;;;;;;;;
0900-0700;51.53270 ;118.17521;809 m;Flag, Red;;;;;;;;;;;;;;
0900-0720;51.53223 ;118.17838;786 m;Flag, Red;;;;;;;;;;;;;;
0900-0740;51.53163 ;118.18081;774 m;Flag, Red;;;;;;;;;;;;;;
0900-0760;51.53096 ;118.18325;766 m;Flag, Red;;;;;;;;;;;;;;
0900-0780;51.53043 ;118.18507;761 m;Flag, Red;;;;;;;;;;;;;;
0900-0800;51.52899 ;118.18830;768 m;Flag, Red;;;;;;;;;;;;;;
0900-0820;51.52801 ;118.19100;780 m;Flag, Red;;;;;;;;;;;;;;
0900-0840;51.52702 ;118.19318;774 m;Flag, Red;;;;;;;;;;;;;;
0900-0860;51.52616 ;118.19571;791 m;Flag, Red;;;;;;;;;;;;;;
0900-0880;51.52535 ;118.19784;807 m;Flag, Red;;;;;;;;;;;;;;
0900-0900;51.52422 ;118.20073;826 m;Flag, Red;;;;;;;;;;;;;;
0900-0920;51.52338 ;118.20316;851 m;Flag, Red;;;;;;;;;;;;;;
0900-0920K;51.52338 ;118.20316;851 m;Waypoint;;;;;;;;;;;;;;
0900-0940;51.52266 ;118.20552;866 m;Flag, Red;;;;;;;;;;;;;;
0900-0960;51.52108 ;118.20921;843 m;Flag, Red;;;;;;;;;;;;;;
0900-0980;51.52049 ;118.21102;875 m;Flag, Red;;;;;;;;;;;;;;
0900-1000;51.51961 ;118.21304;903 m;Flag, Red;;;;;;;;;;;;;;
0900-1020;51.51873 ;118.21563;896 m;Flag, Red;;;;;;;;;;;;;;
0900-1040;51.51798 ;118.21851;895 m;Flag, Red;;;;;;;;;;;;;;
0900-1060;51.51751 ;118.21978;894 m;Flag, Red;;;;;;;;;;;;;;
0900-1080;51.51532 ;118.22205;847 m;Flag, Red;;;;;;;;;;;;;;
0900-1100;51.51477 ;118.22593;838 m;Flag, Red;;;;;;;;;;;;;;
0900-1120;51.51394 ;118.22838;852 m;Flag, Red;;;;;;;;;;;;;;
0900-1140;51.51323 ;118.23065;873 m;Flag, Red;;;;;;;;;;;;;;
0900-1160;51.51230 ;118.23277;868 m;Flag, Red;;;;;;;;;;;;;;
0900-1180;51.51165 ;118.23561;839 m;Flag, Red;;;;;;;;;;;;;;
0900-1200;51.51069 ;118.23743;824 m;Flag, Red;;;;;;;;;;;;;;
0900-1220;51.50973 ;118.24059;821 m;Flag, Red;;;;;;;;;;;;;;
0900-1240;51.50901 ;118.24352;829 m;Flag, Red;;;;;;;;;;;;;;
0900-1260;51.50817 ;118.24614;840 m;Flag, Red;;;;;;;;;;;;;;
0900-1280;51.50694 ;118.24781;833 m;Flag, Red;;;;;;;;;;;;;;
0900-1300;51.50545 ;118.25047;839 m;Flag, Red;;;;;;;;;;;;;;
0900-1320;51.50430 ;118.25363;795 m;Flag, Red;;;;;;;;;;;;;;
0900-1340;51.50376 ;118.25511;785 m;Flag, Red;;;;;;;;;;;;;;
0900-1360;51.50283 ;118.25738;778 m;Flag, Red;;;;;;;;;;;;;;
0900-1380;51.50186 ;118.26011;760 m;Flag, Red;;;;;;;;;;;;;;
0900-1400;51.50109 ;118.26264;747 m;Flag, Red;;;;;;;;;;;;;;
0900-1420;51.50018 ;118.26506;735 m;Flag, Red;;;;;;;;;;;;;;
0900-1440;51.49923 ;118.26748;723 m;Flag, Red;;;;;;;;;;;;;;
0900-1460;51.49835 ;118.26899;717 m;Flag, Green;;;;;;;;;;;;;;
0920-0400;51.54807 ;118.14107;807 m;Flag, Red;;;;;;;;;;;;;;
0920-0420;51.54783 ;118.14291;802 m;Flag, Red;;;;;;;;;;;;;;
0920-0440;51.54681 ;118.14543;792 m;Flag, Green;;;;;;;;;;;;;;
0920-0460;51.54573 ;118.14874;783 m;Flag, Green;;;;;;;;;;;;;;
0920-0480;51.54507 ;118.15033;786 m;Flag, Green;;;;;;;;;;;;;;
0920-0500;51.54442 ;118.15324;799 m;Flag, Green;;;;;;;;;;;;;;
0920-0520;51.54330 ;118.15534;798 m;Flag, Red;;;;;;;;;;;;;;
0920-0540;51.54253 ;118.15779;805 m;Flag, Red;;;;;;;;;;;;;;
0920-0560;51.54146 ;118.16047;806 m;Flag, Red;;;;;;;;;;;;;;
0920-0580;51.54038 ;118.16260;799 m;Flag, Red;;;;;;;;;;;;;;
0920-0600;51.53947 ;118.16513;788 m;Flag, Red;;;;;;;;;;;;;;
0920-0620;51.53867 ;118.16759;796 m;Flag, Red;;;;;;;;;;;;;;
0920-0640;51.53786 ;118.17026;797 m;Flag, Red;;;;;;;;;;;;;;
0920-0660;51.53667 ;118.17325;789 m;Flag, Red;;;;;;;;;;;;;;
